ListA (sorted),ListB (sorted),Distance
41063,40001,1062
41319,40341,978
41649,40607,1042
41730,40691,1039
41901,40771,1130
42089,40781,1308
42157,40976,1181
42255,41046,1209
42321,41190,1131
42362,41278,1084
42398,41419,979
42526,41684,842
42599,41705,894
42673,41775,898
42712,41779,933
42825,41896,929
42882,41994,888
43040,42085,955
43173,42226,947
43242,42263,979
43301,42504,797
43410,42545,865
43543,42585,958
43550,42605,945
43619,42631,988
43622,42850,772
43692,43072,620
43984,43276,708
44083,43393,690
44190,43398,792
44209,43619,590
44396,43619,777
44532,43619,913
44573,43619,954
44609,43619,990
44661,43619,1042
44748,43619,1129
44774,43760,1014
45009,43778,1231
45158,43807,1351
45202,43897,1305
45296,44020,1276
45305,44090,1215
45318,44159,1159
45405,44539,866
45534,44764,770
45581,44931,650
45629,44983,646
45645,45281,364
45701,45332,369
45765,45488,277
45865,45783,82
46286,45804,482
46405,45944,461
46431,46127,304
46434,46180,254
46692,46534,158
46953,46622,331
47096,46751,345
47154,46767,387
47227,46862,365
47310,47227,83
47345,47227,118
47612,47227,385
47630,47227,403
47740,47227,513
47956,47227,729
47973,47227,746
48063,47227,836
48070,47227,843
48293,47227,1066
48373,47227,1146
48622,47227,1395
48847,47227,1620
49192,47227,1965
49196,47227,1969
49208,47227,1981
49261,47227,2034
49442,47309,2133
49504,47641,1863
49565,47714,1851
49601,47752,1849
49682,48153,1529
49739,48403,1336
49755,48560,1195
49946,48719,1227
49988,48742,1246
49997,48749,1248
50215,48803,1412
50419,49196,1223
50715,49196,1519
50724,49196,1528
50836,49196,1640
51180,49196,1984
51321,49196,2125
51369,49196,2173
51374,49196,2178
51564,49196,2368
51578,49242,2336
51584,49305,2279
51596,49751,1845
51639,50162,1477
51895,50479,1416
52053,51191,862
52129,51572,557
52132,51581,551
52139,51728,411
52260,51736,524
52305,51942,363
52407,52130,277
52761,52138,623
52867,52163,704
52973,52565,408
53053,52608,445
53067,52913,154
53306,52928,378
53334,53110,224
53443,53283,160
53500,53315,185
53592,53430,162
53753,53467,286
53779,53557,222
53931,53759,172
54212,54006,206
54445,54169,276
54548,54196,352
54667,54219,448
54841,54268,573
55020,54460,560
55035,54470,565
55224,54539,685
55352,54577,775
55623,54799,824
55686,54906,780
55699,54937,762
55824,55002,822
55879,55104,775
55986,55759,227
56076,55986,90
56194,56070,124
56196,56357,161
56334,56524,190
56430,56593,163
56457,56653,196
56678,56685,7
56793,56724,69
56874,56820,54
56899,56860,39
56957,57178,221
56969,57459,490
56978,57465,487
57029,57490,461
57141,57680,539
57265,57714,449
57306,57933,627
57350,58067,717
57363,58067,704
57365,58067,702
57427,58067,640
57478,58067,589
57600,58067,467
57700,58067,367
57703,58067,364
57756,58074,318
57758,58136,378
57779,58239,460
57972,58448,476
58055,58465,410
58067,58771,704
58070,58846,776
58093,58938,845
58161,59051,890
58314,59209,895
58380,59209,829
58468,59209,741
58498,59209,711
58531,59209,678
58743,59209,466
59015,59209,194
59044,59209,165
59117,59209,92
59209,59209,0
59419,59209,210
59446,59209,237
59779,59209,570
59784,59209,575
59876,59209,667
59907,59209,698
60034,59209,825
60057,59209,848
60068,59239,829
60072,59293,779
60140,59374,766
60385,59545,840
60469,59686,783
60654,59845,809
60690,60034,656
60801,60034,767
60899,60034,865
60969,60034,935
60988,60034,954
61058,60034,1024
61060,60034,1026
61061,60034,1027
61321,60034,1287
61522,60034,1488
61551,60034,1517
61595,60034,1561
61662,60034,1628
61668,60034,1634
61723,60034,1689
61761,60034,1727
61968,60034,1934
62036,60228,1808
62109,60267,1842
62165,60406,1759
62202,60524,1678
62228,60540,1688
62270,60632,1638
62273,60717,1556
62377,60877,1500
62403,60910,1493
62446,61152,1294
62524,61171,1353
62809,61321,1488
62872,61321,1551
62919,61321,1598
63193,61321,1872
63380,61321,2059
63408,61321,2087
63594,61321,2273
63644,61321,2323
63752,61321,2431
63754,61321,2433
63821,61321,2500
63976,61321,2655
64084,61327,2757
64368,61518,2850
64391,61551,2840
64396,61551,2845
64506,61551,2955
64599,61551,3048
64729,61551,3178
64826,61551,3275
64900,61551,3349
64945,61551,3394
65052,61551,3501
65159,61551,3608
65163,61551,3612
65334,61551,3783
65532,61551,3981
65550,61551,3999
65593,61551,4042
65598,61551,4047
65643,61551,4092
65733,61657,4076
65744,61787,3957
65779,61879,3900
65978,62041,3937
66024,62157,3867
66054,62282,3772
66156,62491,3665
66231,62712,3519
66261,62719,3542
66274,62759,3515
66316,62946,3370
66349,63193,3156
66378,63193,3185
66398,63193,3205
66452,63193,3259
66575,63193,3382
66613,63193,3420
66614,63193,3421
66617,63193,3424
66682,63193,3489
66761,63193,3568
66902,63414,3488
66914,63551,3363
66945,63559,3386
66971,63648,3323
67273,63754,3519
67309,63754,3555
67431,63754,3677
67449,63754,3695
67482,63754,3728
67520,63754,3766
67642,63754,3888
67747,63754,3993
67845,64457,3388
67888,64663,3225
68055,64705,3350
68163,64736,3427
68310,64874,3436
68426,64955,3471
68457,65125,3332
68473,65227,3246
68503,65307,3196
68559,65364,3195
68580,65375,3205
68641,65386,3255
68814,65627,3187
68856,65779,3077
68879,65779,3100
68895,65779,3116
68981,65779,3202
69083,65779,3304
69158,65779,3379
69207,65779,3428
69518,65779,3739
69604,65779,3825
69732,65841,3891
69866,65947,3919
69945,65961,3984
70045,66209,3836
70051,66320,3731
70145,66336,3809
70172,66336,3836
70298,66336,3962
70300,66336,3964
70374,66336,4038
70402,66474,3928
70441,66518,3923
70553,66545,4008
70591,66587,4004
70627,66828,3799
70644,66996,3648
70646,67069,3577
70665,67267,3398
70702,67420,3282
70711,67481,3230
70738,67717,3021
70837,67781,3056
70843,67989,2854
71038,68277,2761
71120,68295,2825
71181,68516,2665
71185,68642,2543
71224,68846,2378
71865,68884,2981
71948,68950,2998
71969,68981,2988
71987,68981,3006
72012,68981,3031
72108,69134,2974
72120,69158,2962
72212,69158,3054
72431,69158,3273
72553,69158,3395
72577,69158,3419
72662,69158,3504
73082,69158,3924
73181,69158,4023
73250,69158,4092
73297,69158,4139
73367,69158,4209
73386,69158,4228
73700,69158,4542
73725,69269,4456
73817,69573,4244
73969,69880,4089
74176,70326,3850
74303,70388,3915
74305,70413,3892
74383,70479,3904
74515,70557,3958
74619,70963,3656
75023,71000,4023
75046,71004,4042
75075,71011,4064
75094,71196,3898
75098,71300,3798
75144,71439,3705
75162,71625,3537
75233,71636,3597
75619,71733,3886
75625,71848,3777
75663,72036,3627
75816,72225,3591
76013,72284,3729
76284,72435,3849
76287,73054,3233
76324,73119,3205
76363,73535,2828
76420,73587,2833
76437,73631,2806
76649,73806,2843
76669,73952,2717
76756,73981,2775
76923,74365,2558
77442,74542,2900
77668,74679,2989
77753,74713,3040
77866,74839,3027
77897,74945,2952
77954,74971,2983
78107,75286,2821
78117,75565,2552
78226,75617,2609
78343,75715,2628
78373,75778,2595
78374,75790,2584
78415,75928,2487
78431,76287,2144
78498,76287,2211
78677,76287,2390
78694,76287,2407
78769,76287,2482
78792,76287,2505
78913,76287,2626
79096,76287,2809
79097,76287,2810
79098,76287,2811
79148,76287,2861
79263,76324,2939
79294,76324,2970
79297,76324,2973
79835,76324,3511
80054,76324,3730
80223,76324,3899
80319,76324,3995
80467,76324,4143
80568,76324,4244
80651,76324,4327
80676,76324,4352
80749,76324,4425
80773,76324,4449
80802,76324,4478
80835,76324,4511
80969,76324,4645
80977,76324,4653
81026,76363,4663
81168,76363,4805
81230,76363,4867
81264,76363,4901
81279,76363,4916
81371,76363,5008
81481,76363,5118
81613,76363,5250
81688,76363,5325
81735,76363,5372
81868,76363,5505
81937,76363,5574
82045,76363,5682
82139,76363,5776
82359,76363,5996
82394,76363,6031
82477,76363,6114
82555,76363,6192
82567,76363,6204
82673,76363,6310
82692,76435,6257
82907,76860,6047
82921,77218,5703
83096,77288,5808
83129,77391,5738
83131,77472,5659
83139,77651,5488
83170,77969,5201
83434,78117,5317
83465,78117,5348
83475,78117,5358
83616,78117,5499
83620,78117,5503
83776,78117,5659
83918,78117,5801
83953,78300,5653
83956,78373,5583
83968,78373,5595
84150,78373,5777
84197,78373,5824
84236,78373,5863
84268,78373,5895
84383,78373,6010
84539,78373,6166
84546,78373,6173
84563,78373,6190
84610,78373,6237
84663,78373,6290
84718,78373,6345
84866,78373,6493
85153,78373,6780
85338,78373,6965
85405,78373,7032
85479,78373,7106
85543,78373,7170
85746,78593,7153
85821,78739,7082
85897,78760,7137
85916,78955,6961
86027,79218,6809
86142,79444,6698
86144,79531,6613
86226,79651,6575
86252,80208,6044
86396,80489,5907
86418,80516,5902
86560,80535,6025
86680,80574,6106
86775,80598,6177
86853,80611,6242
86870,80876,5994
87206,80975,6231
87246,81132,6114
87270,81168,6102
87562,81168,6394
87708,81168,6540
87726,81168,6558
87744,81168,6576
87921,81168,6753
87986,81168,6818
88038,81168,6870
88136,81168,6968
88155,81168,6987
88189,81168,7021
88227,81168,7059
88269,81168,7101
88316,81168,7148
88373,81168,7205
88419,81298,7121
88436,81327,7109
88458,81365,7093
88549,81380,7169
88681,81708,6973
88698,81835,6863
88754,81868,6886
88858,81868,6990
88886,81868,7018
89043,81868,7175
89157,81868,7289
89303,81868,7435
89365,82052,7313
89499,82175,7324
89578,82348,7230
89609,82403,7206
89689,82477,7212
89726,82477,7249
89846,82728,7118
89857,83075,6782
89894,83211,6683
90048,83311,6737
90161,83328,6833
90168,83337,6831
90170,83360,6810
90273,83377,6896
90484,83416,7068
90624,83512,7112
90639,83582,7057
90720,83718,7002
90763,83847,6916
90868,83914,6954
90983,84394,6589
90995,84396,6599
91076,84631,6445
91330,84819,6511
91365,85133,6232
91431,85167,6264
91493,85174,6319
91632,85619,6013
91665,85623,6042
91724,85648,6076
91768,85678,6090
91771,85770,6001
91813,85817,5996
91876,87067,4809
92000,87173,4827
92062,87428,4634
92173,87612,4561
92308,87650,4658
92349,88063,4286
92355,88090,4265
92422,88154,4268
92593,88193,4400
92724,88553,4171
92955,88633,4322
93012,88778,4234
93073,88861,4212
93086,89262,3824
93195,89269,3926
93294,90041,3253
93394,90226,3168
93512,90256,3256
93672,90260,3412
93747,90563,3184
93780,90756,3024
93789,90826,2963
93840,91070,2770
93934,91120,2814
94319,91391,2928
94329,91401,2928
94576,91526,3050
94626,91526,3100
94851,91893,2958
94886,92060,2826
95125,92236,2889
95154,92287,2867
95169,92342,2827
95191,93059,2132
95268,93360,1908
95504,93619,1885
95514,93764,1750
95805,94227,1578
95866,94253,1613
95962,95058,904
95968,95142,826
96047,95805,242
96064,95805,259
96146,95805,341
96168,95805,363
96228,95805,423
96443,95805,638
96583,95805,778
96748,95805,943
96800,95805,995
96897,95805,1092
96903,95805,1098
96931,95805,1126
96972,95805,1167
97194,95805,1389
97296,95805,1491
97410,95805,1605
97439,95805,1634
97480,95805,1675
97489,95805,1684
97662,96540,1122
97780,96591,1189
97896,96601,1295
97957,96869,1088
98263,96903,1360
98276,96903,1373
98471,96903,1568
98506,97224,1282
98618,97536,1082
98652,97741,911
98695,98095,600
98969,98114,855
99202,98262,940
99320,98421,899
99354,98556,798
99403,99070,333
99419,99211,208
99544,99459,85
99702,99601,101
99736,99638,98
99873,99697,176

Total Distance,2247990
